Username,Twitter-Handle,Timestamp,Text,No. of Comments,No. of Likes,No. of Retweets
Dean Park Primary,@Deanparkprimary,2020-03-27T12:19:02.000Z,"Home learning for the staff - looking forward to our discussions on improving our practice.
#notetaking #teams",,,4
MinaLima,@minalima,2020-03-24T13:05:18.000Z,"Home-school or home-office, let’s make notetaking more fun everywhere! All we ask is that you stay at home! http://minalima.com #harrypotter #minalima",2,2,74
Humanities - Knightswood Secondary,@Humanities_KSS,2020-03-24T09:40:40.000Z,Unsure of the source of this image but watching the following shows or reading can be part of your home learning. Why not use this as a chance to practise notetaking! Set yourself some aims before you watch/read and take some notes. ,,2,6
Louisa M,@Louisam78,2020-03-22T09:05:43.000Z,"I am currently working from home and available for Remote Captioning, Electronic Notetaking and Lipspeaking services (with or without SSE). 

No specialist equipment is needed to receive captions - 
Skype/Zoom/landline for audio and Wi-Fi enabled device to receive captions.",,1,6
HLCAnkeny,@HlcAnkeny,2020-03-21T21:26:40.000Z,"Maybe you’ve encouraged your students before to “take good notes"". It's imperative now with a lot of students across the U.S. working from home that they take good notes. Here are a few tips to help your students improve their notetaking skills: http://bit.ly/3c9Zn1l",,,
Julia Jacobie,@JJacobieSTTR,2020-03-21T15:08:03.000Z,"For those idiots out there Notetaking social distancing and self-isolating seriously, read this terrifying article about COVID-19. It’s not just older and/or vulnerable people at risk but even if it was, STAY HOME!!!!A Medical Worker Describes Terrifying Lung Failure From COVID-19 — Even in His Young Patients
“It first struck me how different it was when I saw my first coronavirus patient go bad. I was like, Holy shit, this is not the flu. Watching this relatively young guy, gasping for air, pink frothy…
propublica.org",,1,
Mike McTimoney,@miketually,2020-03-21T13:46:16.000Z,"Replying to 
@magsbainesWe didn't have students in on Thurs/Fri and I was at home on Wed (asthma) so I'm nicely ahead. For now, 'lessons' consist of students reading/notetaking from their textbooks and answering some questions, and some helpful YouTube videos I've found for them.",,,1
⁹,@chveyoungs,2020-03-03T22:10:13.000Z,"omg I went to my 11am notetaking class and turns out it was CANCELED and I didn’t know bc I’m not actually in the class so I don’t get the prof’s emails 
 I was so mad too bc I rushed to get to campus and my next class isn’t until 2... so I went home",,,
Solemn Fall Chandler,@mrmperry,2020-02-14T23:17:09.000Z,"My notetaking absolutely broke down here, but his concrete example for the first was the 1,000 homes / 1,000 days project, and for the second it was the Fredrick Douglass plan.Pete Buttigieg tried to revive South Bend by tearing down homes. Did it work?
A Midwestern mayor’s bold move to address blight gets mixed reviews. Pete Buttigieg is still trying to make it right – while running for president.
csmonitor.com",1,,4
Erin Elizabeth Health Nut News,@unhealthytruth,2020-01-12T01:52:40.000Z,"Replying to 
@BernieGarrettYou also claimed to have pictures of our home what you don’t. And if you’ve shared the pictures which aren’t even in the state we live of a family with children which puts them at risk. That will be duly noted by us as well. As are many things we are notetaking right now. Ciao.",,,
Ecologia Digital,@josemurilo,2020-01-03T20:55:38.000Z,"#RoamResearch is a #notetaking app designed to be the home of all your thoughts and outputs. It’s been launched 4 months ago, and I am obsessed with it. The real innovation and unique thing about roam is the feature called Notes [[]] (Bidirectional Links)Roam Research Product Review
youtube.com",,,
Melissa Pilakowski,@mpilakow,2020-01-03T01:13:00.000Z,"A2: I want to include more work with analyzing games as literature using Gone Home and maybe Edith Finch. Also borrowing 
@johnCfallon
 idea of using Her Story with unreliable narrators and notetaking--this works into my ""Truth"" unit.  #games4ed",3,1,4
